,customer_rating,text,business_id,name,city,restaurant_rating,longitude,latitude,categories,hours,address,state
0,2.0,"Food used to great years ago but getting really chintzy.  Beef with broccoli, thin tough pieces of beef, six slices covered in veggies.  Not many people, and seeing dirty aqarium while eating not indusive to fine dining,",wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,3.0,-110.9999851,32.1323047,"Restaurants, Chinese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}","1625 W Valencia Rd, Ste 101-103",AZ
1,4.0,I really enjoyed my BBQ pork chow mein. The service was good and everyone in my party enjoyed their meal.,wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,3.0,-110.9999851,32.1323047,"Restaurants, Chinese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}","1625 W Valencia Rd, Ste 101-103",AZ
2,4.0,"I called in an order for pickup and for $30 got a lot of food. Order was accurate and ready right away. It wasn't the best Chinese food ever, but it wasn't bad. I'd definitely order again.",wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,3.0,-110.9999851,32.1323047,"Restaurants, Chinese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}","1625 W Valencia Rd, Ste 101-103",AZ
3,1.0,"Waitress was rude when explaining that something didn't come with what we ordered because it's a different special, TWICE then askeddif we needed a box . We said thanks and that we would not return. She says, ""What?"". We then just asked for tbe check. The person on the computer sitting at the back came up to us and rudely ""explains"" our misunderstanding, AGAIN. Waited another five minutes for a box, then I stated that she asked me if I wanted one and she never brought it. Computer person yells from her seat if we want a box, and brings us one... NEVER GOING BACK. Food was amazing, the help was not. I worked in the food and customer service industry for 16 years. Never have I managed employees to treat their PAYING guests this way. Also, maybe rethink the unprofessional dress code. Tank top, short shorts hair all over the place? Fast food, maybe... But in a dine-in establishment? I bope the owners read this. Ill be posting on yelp and online...",wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,3.0,-110.9999851,32.1323047,"Restaurants, Chinese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}","1625 W Valencia Rd, Ste 101-103",AZ
4,5.0,"Love this place! I have been going here since a little girl, and will continue to go there. Best Chinese food in Tucson.  The owners Billy and Ellie are personable, and they remember who you are.  Staff is wonderful, everything on the menu is delicious.  Definitely a great place to go :)",wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,3.0,-110.9999851,32.1323047,"Restaurants, Chinese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}","1625 W Valencia Rd, Ste 101-103",AZ
5,1.0,Food was very good until I found a wasp in my twice cooked pork. I was enjoying my food very much until I found this and I'm not coming back. I would think to find a hair but a wasp? Please make sure this doesn't happen to anyone else!,wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,3.0,-110.9999851,32.1323047,"Restaurants, Chinese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}","1625 W Valencia Rd, Ste 101-103",AZ
6,4.0,"It's been our favorite Chinese restaurant for 18+ years. Cashew Chicken and Chicken Chow Mein Crispy are both outstanding. The Lemon Chicken and Orange Chicken (ask for the sauces on-the-side) are both very, very good. On any of their spicy dishes you can ask them to spice it to your heat preference/tolerance, so you everyone can enjoy their meal.",wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,3.0,-110.9999851,32.1323047,"Restaurants, Chinese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}","1625 W Valencia Rd, Ste 101-103",AZ
7,4.0,"El ""Dragon Chino"" o ""China Dragon"" es un pequeño restaurante con gran sabor.
Siendo un restaurante de familia, ""China Dragon"" ha estado presente por 24 años, (como nos mencionó el dueño) ayer en la tarde que buscábamos comida China de calidad, el lugar es cálido y los empleados son amables, atentos y rápidos.

Ahora, a la comida; es bastante difícil encontrar comida china que no sea muy grasosa, salada o parezca que haya estado en un contenedor todo el día, en China Dragon ordenamos una orden de arroz frito con vegetales, 2 rollitos fritos y una orden de carne estilo mongol, con esto recibimos gratis una orden de frituras con cangrejo y arroz blanco (noto que esto fué para llevar).

En resumen, la comida es muy recomendable, y volvería a ""China Dragon"" cualquier dia si hay antojo de comida China a buen precio y gran atmósfera.


""Chinese Dragon"" is a small restaurant with great food. Being a family-owned restaurant for 24 years (as the owner mentioned) we checked it out yesterday night for some fast Chinese food, however we noticed as soon we got there that the place was cozy and employees are nice, attentive and fast.

Now for food; it is difficult to find food in a Chinese restaurant that is not super greasy, salty or looks like it's been sitting in a container all day. At China Dragon, we ordered fried rice, 2 vegetable rolls and Mongolian style beef (It was very very good). With the order we also received a side of white rice, and crab puffs. (Note we took this order to go).

To summarize, I recommend the food and I would go back to ""China Dragon"" any time for great Chinese food at a good price and awesome atmosphere!",wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,3.0,-110.9999851,32.1323047,"Restaurants, Chinese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}","1625 W Valencia Rd, Ste 101-103",AZ
8,3.0,"not many chinese restaurants in area
love their buffet
cant eat buffets more than once a month",wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,3.0,-110.9999851,32.1323047,"Restaurants, Chinese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}","1625 W Valencia Rd, Ste 101-103",AZ
9,5.0,"Highly recommend this place for Chinese! Food is always fresh, service is fast and the prices are great!!",wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,3.0,-110.9999851,32.1323047,"Restaurants, Chinese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}","1625 W Valencia Rd, Ste 101-103",AZ
